dia,Date,IBEX,ABE,BBVA,ELE,ENG,GRF,IDX,SAN,TEF
-1,20/01/11,10816.9,14.74,8.77,20.58,15.6,11.18,58.19,8.74,18.02
-2,19/01/11,10729.7,14.55,8.66,20.01,15.52,11.19,58.8,8.68,17.91
-3,18/01/11,10735.4,14.64,8.64,20,15.42,11.01,58.76,8.74,17.93
-4,17/01/11,10428.8,14.23,8.2,19.65,15.18,10.99,57.72,8.4,17.56
-5,14/01/11,10525.3,14.36,8.33,19.46,15.06,10.93,58.3,8.62,17.63
-6,13/01/11,10502.3,13.95,8.26,20,15.27,10.82,59.05,8.64,17.69
-7,12/01/11,10192.8,13.74,7.77,19.47,15.16,10.73,58.15,8.24,17.36
-8,11/01/11,9653.2,13.55,7.07,18.55,14.57,10.43,57.16,7.52,16.74
-9,10/01/11,9524,13.44,6.92,18.5,14.44,10.12,56.27,7.4,16.58
-10,07/01/11,9631.2,13.24,7.16,18.62,14.56,10.17,55.71,7.6,16.72
-11,06/01/11,9734.8,13.19,7.34,18.64,14.57,10.23,56,7.77,16.92
-12,05/01/11,9816.3,13.35,7.5,18.7,14.71,10.36,56,7.93,16.94
-13,04/01/11,9859.3,13.44,7.6,18.63,14.6,10.5,56.23,7.99,17.09
-14,03/01/11,9822.1,13.49,7.6,18.6,14.67,10.41,56.27,7.97,17
-15,30/12/10,9785.3,13.45,7.56,19.3,14.91,10.2,56.83,7.93,16.97
-16,29/12/10,9871.8,13.79,7.66,19.3,15.03,10.28,57.19,8,17.19
-17,28/12/10,9777.1,13.56,7.61,19.37,14.86,10.25,57.04,7.92,17.11
-18,27/12/10,9746.2,13.5,7.63,19.51,14.82,10.18,57.31,7.89,17.13
-19,23/12/10,9932.9,13.93,7.81,19.59,15.19,10.35,58.3,8.13,17.38
-20,22/12/10,9979.3,14.18,7.91,19.32,15.48,10.38,59.05,8.17,17.42
-21,21/12/10,9975.7,13.84,7.95,19.23,15.28,10.4,58.5,8.28,17.42
-22,20/12/10,9772,13.62,7.71,19.16,15.3,10.14,56.41,8.05,17.15
-23,17/12/10,9678.1,13.45,7.59,18.78,15.12,10.09,58.56,7.97,17.06
-24,16/12/10,9806.9,13.66,7.8,18.32,15.26,10.13,59.1,8.14,17.25
-25,15/12/10,9779.2,13.65,7.83,18.36,15.15,10.19,57.86,8.15,17.22
-26,14/12/10,9911.1,13.7,7.99,18.4,15.3,10.23,62,8.37,17.37
-27,13/12/10,9852.4,13.39,8.01,18.2,15.48,10.13,62.18,8.32,17.3
-28,10/12/10,9794.9,13.06,8.05,18.18,15.31,10.06,62.15,8.3,17.27
-29,09/12/10,9853.8,12.9,8.15,18.45,15.3,10.22,62.95,8.49,17.3
-30,08/12/10,9706.5,12.78,7.99,18.26,15.25,10.21,63.4,8.29,17.17
-31,07/12/10,9530.2,12.55,7.76,17.95,14.9,10.13,63.29,8.1,17.03
-32,06/12/10,9534.6,12.65,7.78,18.08,14.89,9.99,62.61,8.15,17.02
-33,03/12/10,9656.2,12.77,8.01,18.1,14.88,10.05,63.43,8.34,17.2
-34,02/12/10,9575.8,12.7,7.91,17.68,14.85,9.36,61.65,8.23,17.19
-35,01/12/10,9275,12.61,7.59,17.88,14.28,9.07,58.92,7.82,16.95
-36,30/11/10,8861.8,12.27,7.08,17.31,14.23,8.9,57.71,7.3,16.39
-37,29/11/10,8917.9,12.39,7.23,17.75,14.38,9.1,56.87,7.33,16.59
-38,26/11/10,9112.4,12.75,7.55,18.1,14.48,9.38,58.1,7.53,16.97
-39,25/11/10,9267.5,12.61,7.74,18.08,14.6,9.37,59.61,7.82,17.17
-40,24/11/10,9281.1,12.8,7.7,18.59,15.04,9.59,58.34,7.82,17.23
-41,23/11/10,9216.4,12.6,7.63,18.92,14.89,9.37,60.08,7.8,17.16
-42,22/11/10,9504,12.74,7.94,19.22,15.09,9.43,59.08,8.19,17.73
-43,19/11/10,9772,13.2,8.26,19.49,15.46,9.61,59.35,8.53,18.13
-44,18/11/10,9819,13.24,8.34,19.76,15.35,9.84,59.29,8.69,18.14
-45,17/11/10,9673.1,13.22,8.22,19.67,15.1,9.75,57.01,8.58,17.86
-46,16/11/10,9564.5,13.14,8.19,19.58,14.96,9.67,57.99,8.4,17.82
-47,15/11/10,9773.9,13.47,8.42,19.76,15.32,9.9,56.62,8.68,18.16
-48,12/11/10,9632,13.49,8.32,19.58,14.88,9.93,55.37,8.53,18
-49,11/11/10,9525.6,13.47,8.09,19.08,14.98,9.98,55.35,8.36,18
-50,10/11/10,9604.5,13.65,8.15,19.48,15.18,10.09,56.5,8.4,18.3
-51,09/11/10,9769.5,13.86,8.37,19.51,15.27,10.21,56.75,8.65,18.55
-52,08/11/10,9640.1,13.66,8.25,19.38,15.12,10.07,56.66,8.49,18.47
-53,05/11/10,9785.3,13.66,8.38,19.51,15.36,10.19,55.66,8.5,19.25
-54,04/11/10,9993.1,14.07,8.83,19.9,15.61,10.64,58.45,8.73,19.5
-55,03/11/10,9940.3,13.95,8.9,19.68,15.55,10.85,58.5,8.69,19.42
-56,02/11/10,10126.2,14.16,9.21,20.05,15.66,11.03,58.7,9.01,19.59
-57,01/11/10,10014.5,14.09,9.11,19.97,15.58,11.56,59.2,8.95,19.32
-58,29/10/10,10171.1,14.19,9.45,19.91,15.84,11.64,58.73,9.23,19.4
-59,28/10/10,10107.7,14.18,9.34,19.81,15.65,11.57,59.22,9.15,19.44
-60,27/10/10,10035,14.15,9.39,19.59,15.41,11.4,59.7,9.18,19.12
-61,26/10/10,10114.1,14.23,9.63,19.74,15.27,11.57,60,9.33,19.23
-62,25/10/10,10152.9,14.09,9.66,19.77,15.34,11.64,60.03,9.45,19.32
-63,22/10/10,10205.8,14.08,9.78,19.96,15.3,11.55,59.5,9.63,19.31
-64,21/10/10,10144.2,14.09,9.8,20.07,15.2,11.18,58.29,9.57,19.23
-65,20/10/10,10181.2,14.17,9.99,19.77,15.05,11.26,56.68,9.61,19.39
-66,19/10/10,10163.7,14.15,9.98,19.84,14.99,11.44,58,9.62,19.4
-67,18/10/10,10132.2,14.27,9.92,19.83,15.06,11.5,58,9.54,19.47
-68,15/10/10,10080.5,14.27,9.88,20.05,15.09,11.45,57.12,9.48,19.45
-69,14/10/10,10064.3,14.27,9.76,19.86,15.01,11.19,58.4,9.52,19.45
-70,13/10/10,10054.9,14.18,9.93,19.93,14.96,11.12,56.9,9.59,19.34
-71,12/10/10,9804.1,14.01,9.7,19.35,14.78,10.86,56.47,9.3,18.9
-72,11/10/10,9813.6,14.08,9.73,19.66,14.61,10.82,56.09,9.37,18.94
-73,08/10/10,9792.1,13.92,9.9,19.65,14.67,10.65,58.18,9.41,18.76
-74,07/10/10,9803.1,13.85,9.93,19.59,14.73,10.52,58.47,9.51,18.71
-75,06/10/10,9724.5,13.82,9.98,19.44,14.49,10.52,57.01,9.49,18.51
-76,05/10/10,9687.8,13.7,9.98,19.42,14.6,10.48,57.55,9.47,18.46
-77,04/10/10,9396.7,13.5,9.65,19.21,14.39,10.45,55.94,9.11,18.05
-78,01/10/10,9428,13.62,9.75,19.42,14.57,10.49,57.41,9.1,18.18
